iter	Passed	Remaining
585	20260	152608
586	20292	152555
587	20325	152511
588	20360	152475
589	20392	152423
590	20428	152401
591	20462	152361
592	20494	152309
593	20527	152261
594	20560	152214
595	20593	152167
596	20628	152138
597	20662	152099
598	20695	152057
599	20728	152007
600	20763	151980
601	20800	151961
602	20838	151954
603	20875	151937
604	20913	151925
605	20948	151893
606	20991	151919
607	21024	151872
608	21059	151842
609	21091	151789
610	21124	151740
611	21158	151704
612	21191	151657
613	21225	151617
614	21259	151580
615	21294	151551
616	21327	151508
617	21361	151463
618	21394	151417
619	21427	151377
620	21463	151351
621	21497	151314
622	21530	151268
623	21564	151227
624	21598	151188
625	21631	151144
626	21669	151134
627	21703	151092
628	21736	151046
629	21768	150998
630	21802	150957
631	21836	150923
632	21874	150912
633	21910	150886
634	21943	150841
635	21978	150806
636	22018	150813
637	22052	150772
638	22087	150741
639	22122	150711
640	22155	150665
641	22188	150621
642	22223	150588
643	22256	150542
644	22291	150514
645	22326	150481
646	22360	150439
647	22394	150401
648	22428	150364
649	22461	150318
650	22496	150285
651	22529	150245
652	22563	150203
653	22596	150156
654	22629	150115
655	22661	150063
656	22696	150030
657	22734	150018
658	22767	149976
659	22800	149930
660	22833	149889
661	22866	149840
662	22901	149808
663	22936	149778
664	22969	149734
665	23012	149754
666	23045	149708
667	23077	149660
668	23113	149631
669	23147	149592
670	23180	149549
671	23212	149497
672	23246	149459
673	23278	149408
674	23314	149387
675	23350	149362
676	23385	149327
677	23419	149290
678	23452	149243
679	23484	149194
680	23519	149165
681	23553	149127
682	23587	149086
683	23620	149045
684	23654	149008
685	23688	148965
686	23725	148949
687	23761	148926
688	23795	148884
689	23828	148842
690	23862	148804
691	23895	148759
692	23930	148731
693	23964	148691
694	23998	148653
695	24040	148665
696	24074	148623
697	24107	148579
698	24142	148550
699	24176	148509
700	24210	148473
701	24242	148426
702	24276	148386
703	24310	148348
704	24349	148339
705	24382	148299
706	24416	148263
707	24451	148227
708	24484	148185
709	24517	148141
710	24555	148129
711	24589	148090
712	24622	148044
713	24654	147993
714	24686	147947
715	24718	147899
716	24753	147867
717	24789	147840
718	24823	147801
719	24856	147758
720	24889	147717
721	24922	147673
722	24959	147650
723	24994	147616
724	25036	147629
725	25068	147580
726	25103	147549
727	25136	147505
728	25174	147489
729	25208	147450
730	25241	147410
731	25273	147362
732	25309	147332
733	25342	147290
734	25379	147269
735	25413	147230
736	25445	147180
737	25477	147132
738	25510	147088
739	25543	147050
740	25579	147021
741	25612	146977
742	25644	146930
743	25678	146891
744	25711	146848
745	25745	146809
746	25782	146788
747	25818	146762
748	25851	146723
749	25885	146686
750	25920	146654
751	25955	146620
752	25993	146607
753	26041	146646
754	26078	146626
755	26114	146600
756	26151	146578
757	26190	146567
758	26226	146542
759	26263	146523
760	26301	146505
761	26337	146478
762	26371	146442
763	26408	146420
764	26447	146410
765	26482	146381
766	26518	146355
767	26555	146330
768	26592	146308
769	26631	146298
770	26668	146280
771	26704	146254
772	26741	146232
773	26778	146208
774	26817	146197
775	26855	146181
776	26892	146160
777	26927	146130
778	26962	146095
779	26998	146068
780	27035	146048
781	27087	146105
782	27124	146085
783	27160	146058
784	27195	146025
785	27231	145998
786	27267	145969
787	27306	145955
788	27346	145953
789	27382	145922
790	27419	145901
791	27454	145867
792	27490	145841
793	27528	145822
794	27567	145811
795	27604	145788
796	27640	145763
797	27676	145735
798	27713	145714
799	27750	145689
800	27790	145680
801	27825	145649
802	27861	145619
803	27896	145591
804	27932	145562
805	27968	145532
806	28006	145513
807	28042	145489
808	28093	145537
809	28129	145507
810	28166	145485
811	28203	145465
812	28243	145455
813	28281	145440
814	28319	145420
815	28355	145389
816	28391	145362
817	28429	145344
818	28468	145332
819	28506	145314
820	28545	145299
821	28579	145261
822	28616	145237
823	28653	145214
824	28691	145197
825	28728	145171
826	28766	145154
827	28803	145131
828	28838	145098
829	28874	145069
830	28912	145049
831	28947	145015
832	28981	144979
833	29016	144943
834	29053	144917
835	29105	144971
836	29144	144955
837	29179	144923
838	29216	144896
839	29252	144868
840	29288	144839
841	29324	144812
842	29366	144810
843	29400	144773
844	29436	144743
845	29470	144707
846	29507	144679
847	29543	144650
848	29581	144632
